nazwa_zmiennej;kraj;typ_informacji_z_jednostka_miary;rok;miesiac;wartosc;data
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;1;13.1;1-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;2;13;2-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;3;12.8;3-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;4;12.7;4-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;5;12.6;5-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;6;12.4;6-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;7;12.3;7-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;8;12.1;8-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;9;12;9-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;10;11.8;10-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;11;11.6;11-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2014;12;11.4;12-2014
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;1;11.2;1-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;2;11.1;2-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;3;10.9;3-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;4;10.9;4-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;5;10.8;5-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;6;10.6;6-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;7;10.4;7-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;8;10.2;8-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;9;10.1;9-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;10;10;10-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;11;9.8;11-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2015;12;9.7;12-2015
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;1;9.6;1-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;2;9.5;2-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;3;9.4;3-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;4;9.2;4-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;5;9.2;5-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;6;9;6-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;7;8.8;7-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;8;8.7;8-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;9;8.6;9-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;10;8.5;10-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;11;8.4;11-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2016;12;8.2;12-2016
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;1;8;1-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;2;7.9;2-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;3;7.6;3-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;4;7.5;4-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;5;7.4;5-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;6;7.3;6-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;7;7.2;7-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;8;7.2;8-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;9;7;9-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;10;6.8;10-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;11;6.6;11-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2017;12;6.6;12-2017
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;1;6.4;1-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;2;6.3;2-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;3;6.3;3-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;4;6.2;4-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;5;6.1;5-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;6;6.1;6-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;7;6;7-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;8;6;8-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;9;5.9;9-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;10;5.9;10-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;11;5.9;11-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2018;12;5.8;12-2018
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;1;5.8;1-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;2;5.7;2-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;3;5.6;3-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;4;5.5;4-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;5;5.4;5-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;6;5.5;6-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;7;5.4;7-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;8;5.3;8-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;9;5.3;9-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;10;5.2;10-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;11;5.2;11-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2019;12;5.2;12-2019
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;1;5.2;1-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;2;5.2;2-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;3;5.2;3-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;4;5.7;4-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;5;6.1;5-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;6;6.3;6-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;7;6.3;7-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;8;6.3;8-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;9;6.3;9-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;10;6.3;10-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;11;6.3;11-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2020;12;6.3;12-2020
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;1;6.2;1-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;2;6.2;2-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;3;6.1;3-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;4;6.2;4-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;5;6.1;5-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;6;6.2;6-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;7;6.1;7-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;8;5.9;8-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;9;5.8;9-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;10;5.7;10-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;11;5.5;11-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2021;12;5.4;12-2021
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2022;1;5.3;1-2022
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2022;2;5.2;2-2022
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2022;3;5.2;2-2022
